Pregunta,Categoria,Opcion1,Opcion2,Opcion3,Opcion4,Opcion5,Opcion6,Correctas,Explicacion
¿Cuál es la definición técnica de un sistema de información según el enfoque organizacional?,Modelado de Sistemas,Un conjunto de computadoras conectadas a una red de alta velocidad.,"Componentes interrelacionados que recolectan, procesan, almacenan y distribuyen información para la toma de decisiones.",Una colección de datos organizados para servir a una sola aplicación de manera eficiente.,La infraestructura física necesaria para operar el hardware corporativo.,Un sistema sociotécnico que solo considera las máquinas y la tecnología física dura.,La suma de todos los programas de software instalados localmente en las computadoras.,opcion2,"Desde una perspectiva técnica, se define como un conjunto de componentes interrelacionados que recolectan (o recuperan), procesan, almacenan y distribuyen información para apoyar los procesos de toma de decisiones y de control."
"En el contexto de la empresa digital, ¿qué significa el término 'desplazamiento en tiempo'?",Modelado de Sistemas,Trabajar en un taller global fuera de los límites nacionales.,"Realizar negocios de manera continua las 24 horas del día, los 7 días de la semana.",Mover los activos financieros de forma digital entre sucursales.,Organizar las tareas en silos de producción secuencial.,Externalizar el trabajo a países con bajos sueldos.,Automatizar los procesos de negocios manuales antiguos.,opcion2,"El desplazamiento en tiempo se refiere a los negocios que se realizan de forma continua, 24/7, en lugar de horarios comerciales estrechos."
Un Sistema de Procesamiento de Transacciones (TPS) sirve principalmente a:,Sistemas de Información,La gerencia de nivel superior para decisiones estratégicas.,La gerencia de nivel medio para el monitoreo y control.,Los gerentes operacionales para llevar el registro de actividades elementales.,Científicos y trabajadores del conocimiento para crear conocimiento.,Directores de información (CIO) para la gobernanza de TI.,Clientes externos para realizar compras por Internet.,opcion3,"Los TPS son sistemas que llevan el registro de las actividades y transacciones elementales de la organización, sirviendo a los gerentes operacionales."
¿Cuál es la característica principal de una Arquitectura Orientada al Servicio (SOA)?,Modelado de Sistemas,Uso exclusivo de lenguajes de programación propietarios.,Un conjunto de servicios autocontenidos que se comunican para crear una aplicación funcional.,La eliminación total de los sistemas heredados en una empresa.,La conexión física de cables de fibra óptica en una red LAN.,La centralización de todos los datos en un solo disco duro físico.,El uso de redes sociales para la publicidad de productos.,opcion2,La SOA es un conjunto de servicios autocontenidos que se comunican entre sí para crear una aplicación de software funcional.
"En el modelo de fuerzas competitivas de Porter, ¿qué factor aumenta el poder de los clientes?",Sistemas de Información y Estrategia,La existencia de barreras de entrada muy altas.,La capacidad de cambiar fácilmente a los productos de un competidor.,La falta de información sobre precios en el mercado.,La dependencia de un solo proveedor exclusivo.,El uso de sistemas de respuesta eficiente al cliente.,La implementación de una estructura organizacional de tipo adhocracia.,opcion2,El poder de los clientes aumenta si pueden cambiar con facilidad a los productos y servicios de un competidor.
¿Qué son los activos complementarios en el contexto de la inversión en TI?,Modelado de Sistemas,Dispositivos de hardware adicionales como impresoras y escáneres.,Activos requeridos para derivar valor a partir de una inversión primaria.,Copias de seguridad de las bases de datos corporativas.,Programas de software descargados de la nube de forma gratuita.,Cables de fibra óptica que complementan al cable trenzado.,Los salarios de los programadores y analistas de sistemas.,opcion2,"Los activos complementarios son aquellos requeridos para derivar valor a partir de una inversión primaria (como nuevos modelos de negocios, cultura organizacional o capacitación)."
Un sistema de administración de relaciones con el cliente (CRM) se utiliza principalmente para:,Sistemas de Información,Gestionar el flujo de materiales entre la fábrica y el almacén.,"Coordinar los procesos de negocios en ventas, marketing y servicio para optimizar ingresos.",Analizar la estructura de las redes de área metropolitana (MAN).,Reducir la latencia de las señales de radiofrecuencia en Wi-Fi.,Realizar el mantenimiento preventivo del hardware del servidor.,Controlar el acceso de los empleados a sitios Web prohibidos.,opcion2,Los sistemas CRM proveen información para coordinar todos los procesos de negocios que tratan con los clientes para optimizar ingresos y satisfacción.
"¿Qué principio ético sugiere que si una acción no es correcta para que todos la tomen, no es correcta para nadie?",Ética,Regla dorada,Imperativo categórico de Kant,Regla del cambio de Descartes,Principio utilitarista,Principio de aversión al riesgo,Regla de 'no hay comida gratis',opcion2,"El Imperativo categórico de Emmanuel Kant establece: 'Si una acción no es correcta para que todos la tomen, no es correcta para nadie'."
¿Qué derecho protege a los autores de propiedad intelectual contra la copia durante 70 años después de su muerte?,Ética / Propiedad Intelectual,Patente,Derechos de autor (Copyright),Secreto comercial,Privacidad de la información,Responsabilidad legal,Debido proceso,opcion2,Los derechos de autor (copyright) protegen a los creadores contra la copia por parte de otros durante la vida del autor y 70 años más.
Un sistema de administración del conocimiento (KMS) ayuda a las empresas a:,Sistemas de Información,Pagar la nómina de los empleados de forma automática.,Capturar y aplicar la experiencia y el conocimiento organizacional.,Medir el consumo de energía en los centros de datos.,Cifrar el tráfico de red mediante protocolos SSL.,Configurar las redes privadas virtuales (VPN).,Traducir direcciones IP a nombres de dominio.,opcion2,Los KMS permiten a las organizaciones administrar mejor los procesos para capturar y aplicar el conocimiento y la experiencia.
¿Qué es la escalabilidad en los sistemas de información?,Modelado de Sistemas,La capacidad de un sistema para contraerse y reducir costos fijos.,La habilidad de un sistema para expandirse y dar servicio a más usuarios sin fallar.,El proceso de mover datos de una mainframe a una PC.,La jerarquía de autoridad dentro de una burocracia.,El aumento de la velocidad de los microprocesadores según Moore.,La facilidad de uso de una interfaz gráfica de usuario.,opcion2,"La escalabilidad se refiere a la habilidad de una computadora, producto o sistema de expandirse para dar servicio a un mayor número de usuarios sin fallar."
¿Qué nivel de la gerencia toma decisiones estratégicas de largo alcance?,Sistemas de Información,Gerencia operacional,Gerencia de nivel medio,Gerencia de nivel superior,Trabajadores del conocimiento,Analistas de sistemas,Directores de seguridad (CSO),opcion3,La gerencia de nivel superior toma decisiones estratégicas de largo alcance sobre productos y servicios.
¿Cuál es la principal característica del Proceso Unificado (PU) en cuanto a su arquitectura?,Proceso Unificado (PU),Se basa exclusivamente en procesos de cascada.,Es una arquitectura centrada en casos de uso y dirigida por riesgos.,Solo permite el desarrollo lineal de software.,No utiliza modelado visual como UML.,Es un proceso impulsado únicamente por el cliente sin intervención técnica.,Se enfoca solo en la fase de construcción del código.,opcion2,"El Proceso Unificado se define por estar dirigido por casos de uso, centrado en la arquitectura, y ser iterativo e incremental, gestionando los riesgos desde las fases tempranas.",1
"En el Proceso Unificado, ¿qué ocurre durante la fase de Elaboración?",Proceso Unificado (PU),Se entrega el producto final al usuario.,Se analiza el dominio del problema y se define la arquitectura base.,Se realiza el mantenimiento post-implementación.,Se cancela el proyecto si no hay presupuesto.,Se escriben todos los manuales de usuario únicamente.,Se compran los servidores físicos.,opcion2,La fase de elaboración se centra en detallar los requisitos y establecer una arquitectura estable para mitigar los riesgos técnicos.,1
"¿Qué fase del Proceso Unificado (PU) se enfoca principalmente en la viabilidad, el alcance básico y la visión común del proyecto?",Proceso Unificado (PU),Elaboración,Construcción,Transición,Incepción,Implementación,Análisis de Requisitos,opcion4,"La fase de incepción tiene como objetivo establecer una visión común, el alcance y determinar la viabilidad del proyecto antes de invertir en una investigación profunda.",2
"En el contexto de un Proceso Unificado Ágil, ¿qué significa que una iteración esté 'timeboxed'?",Proceso Unificado (PU),Que el alcance es fijo y la fecha varía,Que la fecha de finalización es fija y no puede deslizarse,Que el presupuesto es el único factor limitante,Que la calidad del código es opcional para cumplir plazos,Que se utiliza una caja física para guardar el código,Que solo se permite el uso de diagramas UML,opcion2,"Timeboxing significa que la fecha de finalización de la iteración es fija; si el trabajo se retrasa, se reduce el alcance (de-scope) en lugar de retrasar la entrega.",2
¿Cuál es la recomendación principal del Proceso Unificado respecto al desarrollo de la arquitectura?,Proceso Unificado (PU),Definir toda la arquitectura en la fase de Incepción,Esperar hasta la fase de Construcción para programar el núcleo,Centrarse en la arquitectura durante las iteraciones tempranas de la Elaboración,La arquitectura no es importante en procesos ágiles,Externalizar el diseño arquitectónico a terceros,Documentar la arquitectura solo al final del proyecto,opcion3,"El PU es 'arquitectura-céntrico', lo que implica que las iteraciones iniciales (Elaboración) deben estabilizar y probar el núcleo arquitectónico.",2
¿Cuál de los siguientes es un síntoma de que un equipo NO entiende la fase de Elaboración en el PU?,Proceso Unificado (PU),Se realiza programación de código de producción,Los riesgos mayores están siendo mitigados,Se intenta realizar un diseño completo y cuidadoso antes de programar,Se adaptan los planes basados en el feedback,La arquitectura se estabiliza gradualmente,Se involucra a los usuarios en la evaluación,opcion3,"La elaboración es una fase iterativa de descubrimiento y construcción, no una fase de diseño 'Big Up-Front' tipo cascada antes de la implementación.",2
"Según el texto, ¿qué porcentaje de requisitos suelen detallarse para el final de la fase de Elaboración?",Proceso Unificado (PU),10% al 20%,100% de forma inamovible,80% al 90%,50% exacto,Solo los requisitos no funcionales,"Ninguno, el detalle se hace en Construcción",opcion3,"Al finalizar la fase de elaboración, se espera haber clarificado y detallado entre el 80% y 90% de los requisitos mediante workshops iterativos.",2
¿Cuál es la función del artefacto 'Caso de Desarrollo' (Development Case) en el PU?,Proceso Unificado (PU),Describir el modelo de negocio,Documentar los errores encontrados en las pruebas,Describir el conjunto de prácticas y artefactos de UP personalizados para un proyecto específico,Listar los requisitos funcionales,Establecer la jerarquía de los desarrolladores,Definar el esquema de la base de datos,opcion3,El Caso de Desarrollo es un documento que especifica qué artefactos opcionales del PU se han elegido y cómo se personalizará el proceso.,2
"En el Proceso Unificado, ¿cómo se denominan los conjuntos de actividades y artefactos en un área temática como Requisitos o Diseño?",Proceso Unificado (PU),Fases,Iteraciones,Disciplinas,Workflows cerrados,Milestones,Casos de Uso,opcion3,"El PU organiza el trabajo en 'disciplinas', que son categorías de actividades como Modelado de Negocio, Requisitos o Diseño.",2
"En el contexto de DFD, ¿qué implica la regla de 'balanceo vertical' al crear diagramas hijos?",Proceso Unificado (PU),Que el diagrama hijo debe tener más procesos que el padre.,Que un almacén de datos solo puede aparecer en el nivel 0.,Que un diagrama hijo no puede producir salida o recibir entrada que el proceso padre no produzca o reciba.,Que las flechas siempre deben apuntar de arriba hacia abajo.,Que cada proceso hijo debe ser una entidad externa.,Que no se pueden usar alias en los niveles inferiores.,opcion3,"El balanceo vertical asegura que todos los datos entrantes o salientes del proceso padre se muestren también en el diagrama hijo, manteniendo la integridad del flujo de datos entre niveles.",3
"En el Proceso Unificado (PU) y UML, ¿qué relación se utiliza cuando un caso de uso maneja una variación o excepción del flujo básico?",Proceso Unificado (PU),Inclusión (include),Extensión (extend),Generalización,Comunicación,Agregación,Asociación dirigida,opcion2,La relación de extensión describe la situación en la que un caso de uso posee el comportamiento que permite al nuevo caso de uso manejar una variación o excepción a partir del caso de uso básico.,3
¿Cuáles son los flujos de trabajo (disciplinas) de soporte en el Proceso Unificado?,Proceso Unificado (PU),Gestión de la configuración,Despliegue,Construcción,Entorno de desarrollo,Pruebas,Gestión de proyecto,1;4;6,"Los flujos de soporte en el PU incluyen Gestión de cambios y configuración, Gestión de proyecto, y Ambiente o entorno de desarrollo. Despliegue, Implementación (Construcción) y Pruebas son flujos de ingeniería primarios.",4
