pregunta;categoria;opcion1;opcion2;opcion3;opcion4;opcion5;opcion6;opcion7;opcion8;correctas;explicacion
De acuerdo al Proceso Unificado, de los siguientes ¿Cuales son flujo de trabajo de soporte?;Proceso Unificado;Identificar las HU a incluir en el Sprint;Gestion de la configuracion;Despliegue;Construccion;Entorno de desarrollo;Pruebas;;;"2;5";" Flujos de Trabajo (Disciplinas) de Soporte en el Proceso Unificado
Explicación: El Proceso Unificado clasifica sus flujos de trabajo (disciplinas) en dos categorías [cite: 18]:
Flujos de Ingeniería (Core): Requisitos, Análisis, Diseño, Implementación, Pruebas y Despliegue [cite: 18].
Flujos de Soporte: Gestión de cambios y configuración (2), Gestión de proyecto, y Ambiente o entorno de desarrollo (5) [cite: 18].
¿Por qué no las otras? ""Despliegue"", ""Construcción"" (Implementación) y ""Pruebas"" son flujos de ingeniería primarios [cite: 18]. ""Identificar las HU a incluir en el Sprint"" es una práctica propia de Scrum (metodología ágiles) y no pertenece al Proceso Unificado tradicional [cite: 1, 18]."
Casos de Uso. Relacione las siguientes afirmaciones con sus correspondientes conceptos. Un mismo concepto se puede aplicar a varias afirmaciones.;Modelado de Sistemas;"¿Cuáles son las condiciones que describen en qué situación debe quedar el sistema y
su entorno una vez que el caso de uso haya finalizado con éxito?";"La instancia de un caso de uso, que es una secuencia específica de acciones que
ilustra un recorrido específico y detallado, se denomina:";"¿Quién inicia un caso de uso y persigue el objetivo o resultado de valor que
proporciona el mismo?";"¿Cómo se le llama al conjunto de escenarios en los que el usuario busca un mismo
objetivo?";"El modelo que contiene todos los actores, Casos de Uso y sus relaciones se
denomina:";¿Cómo se denomina a la persona que, cuando usa el sistema, asume un rol?;;;"""Postcondicion;Escenario;Actor primario;Caso de Uso;Modelo de CU; Usuario""";"1. Caso de Uso
Es una secuencia de interacciones entre un sistema y un actor (alguien o algo externo que interactúa con él), diseñada para proporcionarle un resultado identificable de valor
. Un caso de uso describe qué hace un sistema desde la perspectiva de un usuario, abstrayéndose por completo de los detalles técnicos o de implementación
. Representa una meta u objetivo completo del usuario (por ejemplo, Inscribirse en clase) y, estructuralmente, agrupa a un conjunto de escenarios relacionados (tanto el camino principal de éxito como las alternativas y excepciones)
.
2. Escenario
Es una instancia de un caso de uso
. Representa un recorrido o ""camino"" específico, detallado y lineal a través del flujo de eventos del caso de uso
. A diferencia del caso de uso (que agrupa todas las posibles ramificaciones lógicas), un escenario individual ilustra una única secuencia de acciones sin toma de decisiones
. Los escenarios se dividen principalmente en:
Escenario Principal (o básico): El camino común, feliz y exitoso
.
Escenarios Alternativos o de Excepción: Las variaciones lógicas del flujo (por ejemplo, qué sucede si una tarjeta de crédito es rechazada)
.
3. Actor Primario
Es aquel rol que inicia la interacción con el sistema con la intención de alcanzar un objetivo específico (el cual, por lo general, le da el nombre al caso de uso)
. El actor primario es clave para el analista porque es quien persigue el resultado de valor que proporciona el caso de uso y de quien se obtienen los detalles esenciales sobre lo que el sistema debe hacer
.
4. Usuario
Es la persona física y concreta del mundo real que interactúa de manera directa con la aplicación
. Existe una distinción fundamental entre ""Usuario"" y ""Actor"": el Actor es un elemento de diseño abstracto que representa un rol frente al sistema, mientras que el Usuario es el individuo que asume ese rol en la vida real
. Una única persona (usuario) puede desempeñar distintos roles (actores) según la tarea que esté realizando (por ejemplo, un empleado que a veces actúa como Vendedor y otras como Administrador)
.
5. Postcondición
Son las condiciones o cláusulas que describen en qué estado o situación exacta deben quedar el sistema y su entorno una vez que el caso de uso ha finalizado con éxito
. Las postcondiciones aseguran la consistencia del sistema al documentar explícitamente qué datos fueron creados o actualizados, qué resultados concretos recibió el actor y qué transmisiones se enviaron a otros sistemas externos
.
6. Modelo de Casos de Uso (Modelo de CU)
Es un modelo lógico y conceptual que describe la totalidad del comportamiento propuesto para el sistema desde la perspectiva de los usuarios externos
. Está compuesto por el conjunto de todos los actores, los casos de uso definidos y las relaciones lógicas existentes entre ellos (comunicación, inclusión, extensión y generalización)
. Sirve como el principal canal de comunicación entre el equipo de negocios (clientes y usuarios) y el equipo de desarrollo para acordar los límites del alcance del software"
"De qué tipo es el siguiente requisito: ""El MHC-PMS estará disponible para todas las clínicas durante las horas normales de trabajo (lunes a viernes, 08:30 - 17:30). El tiempo de inactividad dentro de las horas normales de trabajo no excederá de cinco segundos en el día""";Ingeniería de Requisitos;No Funcional Organizacional;No Funcional Externo;Funcional;No Funcional del Producto;;;;;4;Al tratarse de una restricción directa sobre el comportamiento de operación del software (disponibilidad y tolerancia a fallos/fiabilidad), se clasifica como un Requisito No Funcional del Producto (Product Requirement) bajo el estándar de Sommerville.
Cuando se inicia un Proyecto de Sistema, lo primero que se debe identificar son los:;Gestión de Proyectos;Requisitos Funcionales;Requerimientos del Usuario;Requerimientos del Negocio;Requisitos del Software;;;;;3;Antes de entrar en detalles técnicos sobre el funcionamiento del software (requisitos funcionales) o lo que el usuario final desea realizar (requisitos del usuario), se debe establecer el por qué se realiza la inversión. Es decir, se debe comprender el requerimiento del negocio que define las metas comerciales o estratégicas que justifican el proyecto.
Cuando en la ERS todos los requisitos reflejan alguna necesidad real, entonces cumplen con el atributo:;Ingeniería de Requisitos;Correcta;Priorizada;No ambigua;Completa;;;;;1;Bajo el estándar IEEE 830, una ERS es correcta si y solo si cada requisito formulado en ella representa una necesidad real que el software debe satisfacer. Si hay requisitos inventados o que no responden al negocio, el documento deja de ser correcto.
Orientación a Objetos. Relacione las siguientes afirmaciones con sus correspondientes conceptos. Un mismo concepto se puede aplicar a varias afirmaciones.;Orientación a Objetos;Cualidad de los objetos de ocultar detalles de implementación y su estado interno.;"Se utilizan para representar aquellas características propias del objeto y a los objetos
con los que deberá colaborar a lo largo de su vida.";Indica qué sabe hacer el objeto, cuáles son sus responsabilidades.;"Mecanismo que permite definir e invocar funciones idénticas en denominación e
interfaz, pero con implementación diferente.";Plantilla para construir (instanciar) objetos.;;;;"""Encapsulamiento;Atributos;Comportamiento;Polimorfismo;Clase""";"Clase vs. Objeto: La clase es el molde o plantilla de diseño; el objeto es la instancia física y concreta que se fabrica con ese molde. Los objetos no son independientes, colaboran enviándose mensajes entre sí.
Encapsulamiento: Capacidad de ocultar el estado interno (atributos) y el código de implementación de un objeto, permitiendo el acceso solo mediante sus métodos públicos.
Atributos e Instancia: Características que definen el estado propio del objeto y con quién colabora.
Comportamiento: Métodos o acciones que definen qué sabe hacer el objeto (sus responsabilidades).
Polimorfismo: Capacidad de objetos de distintas clases para responder a un mismo mensaje (métodos con el mismo nombre) ejecutando su propio comportamiento específico."
En el Proceso Unificado, cuales de las siguientes actividades pertenecen al flujo de trabajo o disciplina Análisis:;Proceso Unificado;Encontrar Actores y Casos de Uso;Analizar un Paquete;Analizar la Interfaz de Usuario;Analizar la Estructura del modelo de casos de uso;Analizar una Clase;Analizar un caso de uso;;;"2;5;6";"De acuerdo con el flujo de Análisis en el PU, el objetivo es comprender el sistema desde una perspectiva interna de desarrollo [cite: 11, 12]. Las actividades oficiales de esta disciplina son [cite: 13]:
Análisis de la arquitectura (Identificar paquetes de análisis y clases de entidad obvias) [cite: 13].
Analizar (refinar) un caso de uso (6) [cite: 13].
Analizar una clase (5) [cite: 13].
Analizar un paquete (2) [cite: 13].
¿Por qué no las otras? ""Encontrar Actores y Casos de Uso"" y ""Estructurar (analizar la estructura) el modelo de casos de uso"" pertenecen al flujo de Captura de Requisitos [cite: 10]. Analizar el diseño detallado de la interfaz de usuario pertenece al flujo de Diseño o a actividades preliminares de requisitos [cite: 10, 18]."
Para definir cuanto y como modelar se debe considerar:;Modelado de Sistemas;No es necesario evaluar o considerar nada, siempre se debe utilizar herramientas sofisticadas y modelar de manera precisa.;No es necesario evaluar o considerar nada, siempre se debe utilizar herramientas simples y modelar minimamente.;La envergadura y/o complejidad del producto o sistema a construir.;La cantidad de personas que conforman el equipo de trabajo.;La experiencia que tiene el jefe de proyecto.;La explotacion que se haga de los modelos.;;;"3;6";"Definir Cuánto y Cómo Modelar en un Proyecto
Explicación: En la teoría de Modelado de Sistemas, el analista debe entender que la documentación debe ser más útil que importante [cite: 5]. El rigor y nivel de detalle del modelado dependen de [cite: 5]:
La envergadura y/o complejidad del sistema (3): Sistemas más grandes y complejos requieren modelos más rigurosos para evitar malentendidos [cite: 2, 5].
La explotación que se haga de los modelos (6): Define el propósito o uso (por ejemplo, si se usarán solo para discutir alternativas o si servirán de base directa para la generación automática de código fuente) [cite: 5].
¿Por qué no las otras? Modelar de forma excesiva en proyectos pequeños o usar siempre herramientas complejas (o al revés, no modelar nada) son malas prácticas que ignoran el contexto del proyecto [cite: 5]."
Ingeniería de Requerimientos. Relacione las siguientes afirmaciones con sus correspondientes conceptos.;Ingeniería de Requisitos;Característica del requisito que hace que se lo pueda interpretar de una única forma y por lo tanto el lenguaje usado en su definición no causa confusiones al lector.;"Actividad para resolver conflictos cuando dos interesados requieren características
mutuamente excluyentes, o entre requisitos y recursos, o entre requisitos funcionales y no
funcionales.";Justifican la compra o el uso del sistema. Meta u Objetivo.;"Actividad que consiste en identificar las fuentes de información sobre el dominio del
problema y la situación actual, y luego utilización de técnicas para evocar esas fuentes.";"Es aquel para el cual existe un proceso finito y de costo razonable para determinar que
el sistema lo cumple.";"Punto de control interno a los requisitos, para comprobar que están bien
documentados, son completos, concisos y consistentes.";"Proceso de descubrir, analizar, documentar, verificar, validar y gestionar los servicios
que debe proporcionar el software y sus restricciones operativas.";"""Foto en el tiempo"" que representa el cuerpo de los requisitos acordados para el
release actual.";"""Concreto;Negociación;Requerimientos del Negocio;Educción de requisitos;Requisito verificable;Verificacion;Ingenieria de Requisitos;Linea Base""";"Eje 1: Niveles y Atributos de Calidad de los Requisitos
Para que un proyecto de software comience con paso firme, los requisitos recolectados deben cumplir con estándares rigurosos de redacción y propósito:
Requerimientos del Negocio (Business Requirements): Se sitúan en el nivel estratégico más alto (definidos generalmente por directivos y patrocinadores)
. Responden a la pregunta clave: ¿Por qué estamos haciendo este proyecto?
. Su objetivo principal es justificar la compra, inversión o uso del sistema, plasmando las metas comerciales y los beneficios financieros que la organización espera obtener
.
Concretos (No Ambiguos): Es la característica que asegura que un requisito pueda ser interpretado de una única forma
. Un lenguaje preciso y libre de ambigüedades evita que el lector (diseñador, programador o cliente) caiga en confusiones, garantizando que todos tengan exactamente el mismo entendimiento del alcance
.
Verificables: Un requisito es verificable si existe un proceso concreto, finito y de costo razonable para comprobar objetivamente que el sistema final lo cumple
. Si un requerimiento no se puede medir o probar (por ejemplo, redactar únicamente ""el sistema debe ser rápido""), se convierte en un deseo informal imposible de validar técnicamente
.
Eje 2: Actividades del Proceso de Desarrollo de Requisitos
El analista de sistemas lidera una disciplina sistemática y cooperativa a través de fases muy claras
:
Ingeniería de Requisitos: Es el proceso global que abarca el descubrimiento (elicitación), análisis, documentación (especificación), verificación, validación y gestión de los servicios que debe proporcionar el software, junto con sus restricciones operativas
. No es un proceso lineal, sino un ciclo continuo de aprendizaje e iteración
.
Educción (Elicitación) de Requisitos: Es la fase de descubrimiento e investigación activa
. Consiste en identificar las fuentes de información (usuarios, procesos del negocio, leyes, documentos) y aplicar técnicas interactivas (entrevistas, observación, cuestionarios) para evocar, descubrir y organizar los requisitos en bruto
.
Negociación de Requisitos: Es la actividad de resolución de conflictos que se ejecuta durante la fase de análisis
. Su propósito es mediar y consensuar acuerdos cuando existen necesidades mutuamente excluyentes entre interesados, o cuando hay fricciones entre los requisitos y los recursos del proyecto (tiempo/presupuesto), o entre requerimientos funcionales y no funcionales
. Se apoya en tres estrategias: el diálogo, las soluciones creativas o la decisión de una autoridad superior
.
Verificación: Es un punto de control de calidad interno liderado por el equipo de sistemas
. Su objetivo es comprobar técnicamente que el documento de especificación (ERS) esté bien redactado, completo, consistente, sin contradicciones y bajo los estándares de la organización
. Responde a la pregunta: ¿Estamos construyendo el documento de requisitos correctamente?
.
Eje 3: Gestión y Estabilización del Alcance
Una vez que los requisitos han sido analizados y verificados, deben administrarse para evitar el descontrol del alcance (scope creep)
:
Línea Base (Baseline): Es una ""foto en el tiempo"" (snapshot o instantánea) que representa el cuerpo de requisitos acordados y aprobados para una versión o release actual
. No significa que los requisitos sean ""perfectos"", sino que son lo suficientemente buenos para permitir que el equipo continúe con el diseño y la construcción con un nivel de riesgo aceptable
. A partir de este hito, cualquier modificación posterior debe someterse a un proceso formal de control de cambios
."
Actividad de la Ingeniería de requisitos que busca depurar en el borrador del documento los requisitos innecesarios, conflictivos e incompletos o inviables.;Ingeniería de Requisitos;Validacion;Verificacion;Analisis;Educcion;;;;;3;El Análisis de requisitos trabaja directamente sobre el borrador inicial (draft) para limpiarlo. Aplica tres comprobaciones clave: la de necesidades (elimina innecesarios), la de consistencia/completitud (resuelve conflictos y vacíos) y la de viabilidad (descarta lo inviable técnicamente o por presupuesto).
